Stock_Date,Stock_Index_Change,Stock_Percent_Change,Stock_Open,Stock_Highest,Stock_Lowest,Stock_Closed,Stock_AVG,Stock_Adjusted_Closed,Stock_Volume,Stock_Company_Code
07/10/2022,-1.35,-6.75%,19.55,19.9,18.6,18.65,18.88,18.65,8685400,ACB
06/10/2022,-0.8,-3.85%,20.85,21.2,20,20,20.49,20,3274400,ACB
05/10/2022,-0.2,-0.95%,21.1,21.45,20.8,20.8,21.18,20.8,3470800,ACB
04/10/2022,-0.6,-2.78%,21.7,21.95,21,21,21.71,21,3941500,ACB
03/10/2022,-0.6,-2.70%,22.05,22.3,21.3,21.6,22.02,21.6,4607900,ACB
30/09/2022,0.2,0.91%,22,22.45,21.85,22.2,22.13,22.2,4219300,ACB
29/09/2022,0,0.00%,22.15,22.15,21.9,22,22.01,22,9323300,ACB
28/09/2022,-0.4,-1.79%,22.05,22.25,21.95,22,22.04,22,2513100,ACB
27/09/2022,0.2,0.90%,22.2,22.45,22.1,22.4,22.29,22.4,12625700,ACB
26/09/2022,-0.4,-1.77%,22.4,22.5,21.8,22.2,22.2,22.2,4788500,ACB
23/09/2022,-0.2,-0.88%,22.65,22.95,22.6,22.6,22.73,22.6,7888600,ACB
22/09/2022,0.2,0.88%,22.5,22.8,22.5,22.8,22.63,22.8,1978800,ACB
21/09/2022,-0.3,-1.31%,22.85,22.85,22.6,22.6,22.67,22.6,8058200,ACB
20/09/2022,0.05,0.22%,22.9,22.95,22.6,22.9,22.77,22.9,2218000,ACB
19/09/2022,-0.3,-1.30%,23.15,23.2,22.7,22.85,22.89,22.85,10567600,ACB
16/09/2022,-0.4,-1.70%,23.5,23.6,23.1,23.15,23.26,23.15,2120100,ACB
15/09/2022,0.05,0.21%,23.6,23.6,23.45,23.55,23.51,23.55,2020600,ACB
14/09/2022,-0.3,-1.26%,23.5,23.6,23.35,23.5,23.43,23.5,2102100,ACB
13/09/2022,0.05,0.21%,23.9,24,23.6,23.8,23.83,23.8,2185500,ACB
12/09/2022,-0.25,-1.04%,24,24.2,23.75,23.75,23.91,23.75,1466221,ACB
09/09/2022,0,0.00%,24.2,24.2,23.75,24,23.93,24,3307900,ACB
08/09/2022,-0.3,-1.23%,24.4,24.45,24,24,24.19,24,2080700,ACB
07/09/2022,-0.35,-1.42%,24.5,24.6,24.3,24.3,24.45,24.3,3414400,ACB
06/09/2022,0.15,0.61%,24.5,24.7,24.45,24.65,24.57,24.65,2405200,ACB
